Physics,Sections,CFG,mse,var_diff
nophys,secincr20,1,tensor(3903.9102),55.470208374175954
nophys,sec25,1,tensor(2635.6982),43.55970634514468
nophys,sec18plus7,3,tensor(2260.3452),51.79785841338487
nophys,sec15,8,tensor(3539.4468),49.53384840463608
nophys,sec15,6,tensor(6844.6963),60.57657495234124
nophys,secincr20,3,tensor(5529.1904),56.90462841842632
nophys,sec9plus6,8,tensor(36.9072),19.044385523162543
nophys,sec15,7,tensor(2103.3052),57.27361138410144
nophys,sec20,8,tensor(148.3036),20.69254983936136
nophys,sec18plus7,7,tensor(76.2888),19.463295335622693
nophys,sec25,7,tensor(16397.0703),58.93296998265087
nophys,sec25,3,tensor(10812.1543),45.172534191126815
nophys,sec15,5,tensor(3323.2261),60.82723788666954
nophys,sec20,1,tensor(2201.7473),53.220583107410896
nophys,sec9plus6,1,tensor(4545.3657),69.68821512942809
nophys,sec25,6,tensor(7351.9458),78.59370874216636
nophys,sec20,3,tensor(3713.7695),27.3992060701433
nophys,sec18plus7,8,tensor(35.7707),16.92342328091852
nophys,secincr20,5,tensor(17820.7422),64.84057824366393
nophys,sec20,7,tensor(74.8035),14.642233877567293
nophys,sec25,4,tensor(7822.8672),62.620148855365855
nophys,secincr20,8,tensor(5985.0635),102.40270118443284
nophys,sec9plus6,7,tensor(275.7427),30.415117364682438
nophys,sec9plus6,4,tensor(1936.5682),47.43529460609878
nophys,sec25,5,tensor(15181.4385),40.9812701255865
nophys,sec15,2,tensor(3749.6782),42.19259511366927
nophys,sec18plus7,2,tensor(1596.4989),41.13341673152341
nophys,secincr20,6,tensor(8739.3740),78.61651308186
nophys,secincr20,2,tensor(7383.1797),52.80421227229132
nophys,sec9plus6,6,tensor(799.3242),40.918416663141656
nophys,sec15,1,tensor(4692.4253),50.19433073896212
nophys,sec20,2,tensor(3471.6863),54.22862828964494
nophys,sec15,3,tensor(6289.9463),64.247038040892
nophys,sec18plus7,1,tensor(2785.3101),54.92979424161645
nophys,sec18plus7,6,tensor(142.2147),30.500036701169027
nophys,sec9plus6,3,tensor(201460.8594),73.77977556689743
nophys,sec25,2,tensor(91862.6797),77.6680703212146
nophys,sec9plus6,2,tensor(71539.6016),89.01427074739777
nophys,sec20,5,tensor(12972.6992),147.8839944165871
nophys,sec9plus6,5,tensor(95022.9922),67.57025391582285
nophys,secincr20,7,tensor(66934.2109),348.35270619946857
nophys,sec20,6,tensor(12916.3125),213.3109642841675
nophys,sec15,4,tensor(197500.3281),83.03788857178922
nophys,sec18plus7,5,tensor(109230.0625),63.30562010992534
nophys,sec25,8,tensor(371130.8750),25.743205300017003
nophys,secincr20,4,tensor(173441.1719),245.1216612135545
nophys,sec20,4,tensor(49238.3242),107.36358848889496
nophys,sec18plus7,4,tensor(139130.1406),44.77675683540934
nophys,secincr20,1,tensor(17404.9297),60.47092868109662
nophys,sec25,1,tensor(17097.4688),61.70659304464617
nophys,sec18plus7,3,tensor(161751.5781),57.23194657486151
nophys,sec15,8,tensor(245550.0781),79.9053313697332
nophys,sec15,6,tensor(89788.4375),100.04695856435806
nophys,secincr20,3,tensor(54219.2500),143.25764622128673
nophys,sec9plus6,8,tensor(213032.3906),11.597056989736846
nophys,sec15,7,tensor(103165.8984),110.06561016043564
nophys,sec20,8,tensor(29846.4473),183.2870576486129
nophys,sec18plus7,7,tensor(71728.7344),53.23752446687822
nophys,sec25,7,tensor(324643.9375),27.909109087748558
nophys,sec25,3,tensor(105056.4531),72.42031166320108
nophys,sec15,5,tensor(80723.5000),113.52803296202129
nophys,sec20,1,tensor(11485.7686),59.03894770010025
nophys,sec9plus6,1,tensor(35992.4023),72.24181779002163
nophys,sec25,6,tensor(123452.0078),70.45125137089781
nophys,sec20,3,tensor(6436.6377),64.63371356079037
nophys,sec18plus7,8,tensor(58238.1406),62.44262730798056
nophys,secincr20,5,tensor(68900.0781),278.4760661148393
nophys,sec20,7,tensor(3756.8975),138.6283648064357
nophys,sec25,4,tensor(195495.6875),80.0052150480808
nophys,secincr20,8,tensor(58248.7344),464.2322091349658
nophys,sec9plus6,7,tensor(145991.6875),49.7820309380572
nophys,sec9plus6,4,tensor(281637.6562),37.92750659899302
nophys,sec25,5,tensor(255155.0781),77.5795289984002
nophys,sec15,2,tensor(65899.5625),54.74828088161041
nophys,sec18plus7,2,tensor(58613.1992),64.95048316637846
nophys,secincr20,6,tensor(147192.9375),312.86265336197084
nophys,secincr20,2,tensor(66021.3125),85.38419527308628
nophys,sec9plus6,6,tensor(115557.4219),45.35461555344791
nophys,sec15,1,tensor(25750.6953),73.51464804138217
nophys,sec20,2,tensor(35755.0352),61.76333293842586
nophys,sec15,3,tensor(162395.5938),75.87177227509223
nophys,sec18plus7,1,tensor(42710.9688),70.46790573260408
nophys,sec18plus7,6,tensor(102764.3828),28.49051745895956
nophys,sec9plus6,3,tensor(229010.5625),147.40827509605427
nophys,sec25,2,tensor(8847.5469),133.57234253526545
nophys,sec9plus6,2,tensor(63568.9219),133.87044626677118
nophys,sec20,5,tensor(16979.9727),274.11661459475147
nophys,sec9plus6,5,tensor(337175.),99.06692426166838
nophys,secincr20,7,tensor(207285.2188),729.4506989357964
nophys,sec20,6,tensor(111414.0703),325.41536923709094
nophys,sec15,4,tensor(49412.9297),241.0009870020981
nophys,sec18plus7,5,tensor(93374.9766),312.579651743917
nophys,sec25,8,tensor(137234.3750),504.763961671972
nophys,secincr20,4,tensor(121607.8203),385.5055154056506
nophys,sec20,4,tensor(20982.1309),143.21923664962355
nophys,sec18plus7,4,tensor(143142.5938),251.70338758049093
nophys,secincr20,1,tensor(2079.8491),83.81896150787942
nophys,sec25,1,tensor(4961.3242),61.38261591766427
nophys,sec18plus7,3,tensor(76699.9375),206.12329859744392
nophys,sec15,8,tensor(383307.4688),360.1536080777781
nophys,sec15,6,tensor(218410.7656),248.39202687313227
nophys,secincr20,3,tensor(9190.3848),254.72218027569
nophys,sec9plus6,8,tensor(506648.2500),138.5981167168304
nophys,sec15,7,tensor(361578.2188),336.8990067505783
nophys,sec20,8,tensor(227688.3281),298.6187265941076
nophys,sec18plus7,7,tensor(88804.6641),321.64565487405343
nophys,sec25,7,tensor(68105.3906),415.5666803513525
nophys,sec25,3,tensor(2563.9675),187.1519091134709
nophys,sec15,5,tensor(103451.2188),222.3552332313693
nophys,sec20,1,tensor(14770.8828),39.88975359469044
